alpha_deg,c_L_KJ,c_L_P,c_M_LE,c_M_QC
-5.000000,-0.613620,-0.611737,0.161170,0.007764
-4.000000,-0.491121,-0.489615,0.129172,0.006392
-3.000000,-0.368472,-0.367343,0.097017,0.004899
-2.000000,-0.245710,-0.244958,0.064744,0.003316
-1.000000,-0.122874,-0.122498,0.032392,0.001673
0.000000,-0.000000,-0.000000,0.000000,0.000000
1.000000,0.122874,0.122498,-0.032392,-0.001673
2.000000,0.245710,0.244958,-0.064744,-0.003316
3.000000,0.368472,0.367343,-0.097017,-0.004899
4.000000,0.491121,0.489615,-0.129172,-0.006392
5.000000,0.613620,0.611737,-0.161170,-0.007764
6.000000,0.735933,0.733672,-0.192971,-0.008988
7.000000,0.858022,0.855382,-0.224537,-0.010032
8.000000,0.979849,0.976831,-0.255830,-0.010867
9.000000,1.101378,1.097979,-0.286811,-0.011466
10.000000,1.222571,1.218792,-0.317442,-0.011799
11.000000,1.343392,1.339231,-0.347687,-0.011839
12.000000,1.463803,1.459259,-0.377508,-0.011557
13.000000,1.583769,1.578841,-0.406869,-0.010927
14.000000,1.703252,1.697939,-0.435735,-0.009922
15.000000,1.822217,1.816517,-0.464069,-0.008515
16.000000,1.940626,1.934539,-0.491838,-0.006682
17.000000,2.058445,2.051968,-0.519008,-0.004397
18.000000,2.175636,2.168769,-0.545546,-0.001637
19.000000,2.292164,2.284905,-0.571419,0.001622
20.000000,2.407995,2.400343,-0.596596,0.005403
